"","A","B","C-1","C-2","D","E","F-1","F-2","G","H-1","H-2"
"","C11orf16","","","","","","","","","",""
"","MS4A8","","","","","","","","","",""
"","SCGB1A1","","","","","","","","","",""
"","C11orf88","","","","","","","","","",""
"","TMPRSS4","","","","","","","","","",""
"","TSPAN19","","","","","","","","","",""
"","LRRIQ1","","","","","","","","","",""
"","PLEKHG7","","","","","","","","","",""
"","CFAP73","","","","","","","","","",""
"","CCDC60","","","","","","","","","",""
"","DNAH10","","","","","","","","","",""
"","STOML3","","","","","","","","","",""
"","FAM216B","","","","","","","","","",""
"","RP11-356K23.1","","","","","","","","","",""
"","RHOV","","","","","","","","","",""
"","CCDC33","","","","","","","","","",""
"","SAXO2","","","","","","","","","",""
"","CCDC78","","","","","","","","","",""
"","DNAH3","","","","","","","","","",""
"","ERN2","","","","","","","","","",""
"","RP11-467J12.4","","","","","","","","","",""
"","DRC7","","","","","","","","","",""
"","HYDIN","","","","","","","","","",""
"","DNAAF1","","","","","","","","","",""
"","FAM92B","","","","","","","","","",""
"","ALOX15","","","","","","","","","",""
"","TEKT1","","","","","","","","","",""
"","DNAH2","","","","","","","","","",""
"","CFAP52","","","","","","","","","",""
"","DNAH9","","","","","","","","","",""
"","ALDH3A1","","","","","","","","","",""
"","GAS2L2","","","","","","","","","",""
"","KRT17","","","","","","","","","",""
"","LRRC46","","","","","","","","","",""
"","MARCH10","","","","","","","","","",""
"","DNAI2","","","","","","","","","",""
"","FOXJ1","","","","","","","","","",""
"","CHST9","","","","","","","","","",""
"","MUC16","","","","","","","","","",""
"","NWD1","","","","","","","","","",""
"","CYP2F1","","","","","","","","","",""
"","CCDC114","","","","","","","","","",""
"","CACNG6","","","","","","","","","",""
"","DNAAF3","","","","","","","","","",""
"","SPEF1","","","","","","","","","",""
"","BPIFA1","","","","","","","","","",""
"","BPIFB1","","","","","","","","","",""
"","PTPRT","","","","","","","","","",""
"","C20orf85","","","","","","","","","",""
"","UMODL1-AS1","","","","","","","","","",""
"","RSPH1","","","","","","","","","",""
"","LRRC74B","","","","","","","","","",""
"","RP4-539M6.14","","","","","","","","","",""
"","CFAP47","","","","","","","","","",""
