"","A","B","C","D-1","D-2","E-1","E-2","F-1","F-2","G","H","I-1","I-2"
"","","","","BCL2A1","","","","","","","","",""
"","","","","HBA2","","","","","","","","",""
"","","","","TNFRSF12A","","","","","","","","",""
"","","","","IL4R","","","","","","","","",""
"","","","","MT1A","","","","","","","","",""
"","","","","MT1X","","","","","","","","",""
"","","","","MLKL","","","","","","","","",""
"","","","","CCL2","","","","","","","","",""
"","","","","CSF3","","","","","","","","",""
"","","","","GFAP","","","","","","","","",""
"","","","","NGFR","","","","","","","","",""
"","","","","KIF19","","","","","","","","",""
"","","","","ITGB4","","","","","","","","",""
"","","","","SOCS3","","","","","","","","",""
"","","","","SECTM1","","","","","","","","",""
"","","","","AQP4","","","","","","","","",""
"","","","","SLC14A1","","","","","","","","",""
"","","","","GADD45B","","","","","","","","",""
"","","","","ANGPTL4","","","","","","","","",""
"","","","","ICAM1","","","","","","","","",""
"","","","","DNAJB1","","","","","","","","",""
"","","","","ADGRE2","","","","","","","","",""
"","","","","AC005336.4","","","","","","","","",""
"","","","","IFI30","","","","","","","","",""
"","","","","ZFP36","","","","","","","","",""
"","","","","GPR4","","","","","","","","",""
"","","","","C5AR1","","","","","","","","",""
"","","","","FPR1","","","","","","","","",""
"","","","","LILRB3","","","","","","","","",""
"","","","","SLC52A3","","","","","","","","",""
"","","","","CD93","","","","","","","","",""
"","","","","SDC4","","","","","","","","",""
"","","","","MMP9","","","","","","","","",""
"","","","","PCK1","","","","","","","","",""
"","","","","CH507-42P11.8","","","","","","","","",""
"","","","","ADAMTS1","","","","","","","","",""
"","","","","TMPRSS3","","","","","","","","",""
"","","","","LIF","","","","","","","","",""
"","","","","HMOX1","","","","","","","","",""
"","","","","APOL4","","","","","","","","",""
"","","","","TYMP","","","","","","","","",""
"","","","","TIMP1","","","","","","","","",""
"","","","","ALAS2","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
