"","A-1","A-2","B-1","B-2","C","D","E-1","E-2","F","G","H","I","J","K-1","K-2"
"","","","","","","","RP11-244H18.1","","","","","","","",""
"","","","","","","","TTC6","","","","","","","",""
"","","","","","","","RP11-467L19.16","","","","","","","",""
"","","","","","","","GABRG3","","","","","","","",""
"","","","","","","","PLA2G4F","","","","","","","",""
"","","","","","","","SORD2P","","","","","","","",""
"","","","","","","","HMGN2P46","","","","","","","",""
"","","","","","","","LMAN1L","","","","","","","",""
"","","","","","","","CPLX3","","","","","","","",""
"","","","","","","","PRSS21","","","","","","","",""
"","","","","","","","GP2","","","","","","","",""
"","","","","","","","ABCC11","","","","","","","",""
"","","","","","","","LINC02170","","","","","","","",""
"","","","","","","","ALOX15B","","","","","","","",""
"","","","","","","","RP11-599B13.9","","","","","","","",""
"","","","","","","","WNK4","","","","","","","",""
"","","","","","","","HOXB13","","","","","","","",""
"","","","","","","","KCNH6","","","","","","","",""
"","","","","","","","GAPLINC","","","","","","","",""
"","","","","","","","LINC00668","","","","","","","",""
"","","","","","","","CYP4F2","","","","","","","",""
"","","","","","","","AC005336.5","","","","","","","",""
"","","","","","","","LLNLF-158E9.1","","","","","","","",""
"","","","","","","","AC005336.4","","","","","","","",""
"","","","","","","","CD177","","","","","","","",""
"","","","","","","","CEACAM20","","","","","","","",""
"","","","","","","","CEACAM22P","","","","","","","",""
"","","","","","","","KLK3","","","","","","","",""
"","","","","","","","KLK2","","","","","","","",""
"","","","","","","","KLKP1","","","","","","","",""
"","","","","","","","KLK4","","","","","","","",""
"","","","","","","","KLK11","","","","","","","",""
"","","","","","","","LINC00261","","","","","","","",""
"","","","","","","","CST1","","","","","","","",""
"","","","","","","","ARHGAP40","","","","","","","",""
"","","","","","","","RBBP8NL","","","","","","","",""
"","","","","","","","TMPRSS2","","","","","","","",""
"","","","","","","","POTEH","","","","","","","",""
"","","","","","","","GRAMD4P2","","","","","","","",""
"","","","","","","","DUXAP8","","","","","","","",""
"","","","","","","","CES5AP1","","","","","","","",""
"","","","","","","","PCAT14","","","","","","","",""
"","","","","","","","NEFH","","","","","","","",""
"","","","","","","","C22orf42","","","","","","","",""
"","","","","","","","RFPL2","","","","","","","",""
"","","","","","","","CPSF1P1","","","","","","","",""
"","","","","","","","UPK3A","","","","","","","",""
"","","","","","","","LINC01310","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
