"","A","B-1","B-2","C","D","E","F","G-1","G-2","H-1","H-2"
"USP32P1","","","","","","","","","","",""
"USP32P2","","","","","","","","","","",""
"CTD-2303H24.2","","","","","","","","","","",""
"SLC47A1","","","","","","","","","","",""
"TBC1D3L","","","","","","","","","","",""
"GFAP","","","","","","","","","","",""
"DNAH17-AS1","","","","","","","","","","",""
"LINC02081","","","","","","","","","","",""
"PSMA8","","","","","","","","","","",""
"FHOD3","","","","","","","","","","",""
"NETO1","","","","","","","","","","",""
"LINC00908","","","","","","","","","","",""
"FBXO17","","","","","","","","","","",""
"CLC","","","","","","","","","","",""
"PNMAL1","","","","","","","","","","",""
"NLRP7","","","","","","","","","","",""
"NLRP2","","","","","","","","","","",""
"LAMP5","","","","","","","","","","",""
"WFDC2","","","","","","","","","","",""
"BIRC7","","","","","","","","","","",""
"LINC00176","","","","","","","","","","",""
"TMPRSS3","","","","","","","","","","",""
"C21orf33","","","","","","","","","","",""
"IGLV8-61","","","","","","","","","","",""
"IGLV6-57","","","","","","","","","","",""
"IGLC2","","","","","","","","","","",""
"IGLJ3","","","","","","","","","","",""
"IGLC3","","","","","","","","","","",""
"IGLC6","","","","","","","","","","",""
"AP000350.5","","","","","","","","","","",""
"SYNGR1","","","","","","","","","","",""
"RP11-706O15.3","","","","","","","","","","",""
"NLGN4X","","","","","","","","","","",""
"GPX1P1","","","","","","","","","","",""
"RPS6KA6","","","","","","","","","","",""
"POF1B","","","","","","","","","","",""
"AMOT","","","","","","","","","","",""
"PLS3","","","","","","","","","","",""
"KLHL13","","","","","","","","","","",""
"GPC4","","","","","","","","","","",""
