"","A-1","A-2","B","C","D","E-1","E-2","F","G","H","I-1","I-2","J-1","J-2"
"RP11-298I3.6","","","","","","","","","","","","","",""
"OTX2","","","","","","","","","","","","","",""
"RP11-507K2.2","","","","","","","","","","","","","",""
"BDKRB2","","","","","","","","","","","","","",""
"RP11-509A17.3","","","","","","","","","","","","","",""
"RP11-1H8.5","","","","","","","","","","","","","",""
"THBS1","","","","","","","","","","","","","",""
"RP11-23P13.6","","","","","","","","","","","","","",""
"LMAN1L","","","","","","","","","","","","","",""
"CPLX3","","","","","","","","","","","","","",""
"RP11-114H24.2","","","","","","","","","","","","","",""
"RPL9P9","","","","","","","","","","","","","",""
"WASIR2","","","","","","","","","","","","","",""
"HBA2","","","","","","","","","","","","","",""
"HBA1","","","","","","","","","","","","","",""
"RP11-20I23.13","","","","","","","","","","","","","",""
"NPIPB2","","","","","","","","","","","","","",""
"NPIPA5","","","","","","","","","","","","","",""
"MYH11","","","","","","","","","","","","","",""
"AC138969.4","","","","","","","","","","","","","",""
"RP11-958N24.2","","","","","","","","","","","","","",""
"NPIPA7","","","","","","","","","","","","","",""
"NPIPA8","","","","","","","","","","","","","",""
"PKD1P5","","","","","","","","","","","","","",""
"HERC2P4","","","","","","","","","","","","","",""
"HPR","","","","","","","","","","","","","",""
"NPIPB15","","","","","","","","","","","","","",""
"FAM92B","","","","","","","","","","","","","",""
"FAM157C","","","","","","","","","","","","","",""
"RPL13P12","","","","","","","","","","","","","",""
"SNORD3A","","","","","","","","","","","","","",""
"TBC1D3L","","","","","","","","","","","","","",""
"LRRC37A4P","","","","","","","","","","","","","",""
"MAPK8IP1P2","","","","","","","","","","","","","",""
"RP11-259G18.3","","","","","","","","","","","","","",""
"GH1","","","","","","","","","","","","","",""
"AC139099.7","","","","","","","","","","","","","",""
"TTR","","","","","","","","","","","","","",""
"RP11-426J5.3","","","","","","","","","","","","","",""
"GNA15","","","","","","","","","","","","","",""
"CLEC4G","","","","","","","","","","","","","",""
"OR7D2","","","","","","","","","","","","","",""
"COMP","","","","","","","","","","","","","",""
"RP11-678G14.3","","","","","","","","","","","","","",""
"RP11-420K14.1","","","","","","","","","","","","","",""
"MTDHP3","","","","","","","","","","","","","",""
"RPSAP58","","","","","","","","","","","","","",""
"SIRPB1","","","","","","","","","","","","","",""
"FAM182A","","","","","","","","","","","","","",""
"LINC01749","","","","","","","","","","","","","",""
"CBSL","","","","","","","","","","","","","",""
"CH507-513H4.5","","","","","","","","","","","","","",""
"CH507-513H4.3","","","","","","","","","","","","","",""
"TEKT4P2","","","","","","","","","","","","","",""
"CYP4F29P","","","","","","","","","","","","","",""
"CBS","","","","","","","","","","","","","",""
"SIK1","","","","","","","","","","","","","",""
"PWP2","","","","","","","","","","","","","",""
"C21orf33","","","","","","","","","","","","","",""
"LL21NC02-21A1.1","","","","","","","","","","","","","",""
"AP000350.5","","","","","","","","","","","","","",""
"SIRPAP1","","","","","","","","","","","","","",""
"SSTR3","","","","","","","","","","","","","",""
"GPX1P1","","","","","","","","","","","","","",""
"RHOXF1-AS1","","","","","","","","","","","","","",""
"RHOXF1","","","","","","","","","","","","","",""
"PNMA6B","","","","","","","","","","","","","",""
