"","A","B-1","B-2","C-1","C-2","D","E","F","G-1","G-2","H","I","J-1","J-2"
"","","","","FAT3","","","","","","","","","",""
"","","","","OLR1","","","","","","","","","",""
"","","","","MGST1","","","","","","","","","",""
"","","","","SLCO1C1","","","","","","","","","",""
"","","","","METTL7B","","","","","","","","","",""
"","","","","WIF1","","","","","","","","","",""
"","","","","LGR5","","","","","","","","","",""
"","","","","TMEM132B","","","","","","","","","",""
"","","","","GJB2","","","","","","","","","",""
"","","","","GJB6","","","","","","","","","",""
"","","","","CYSLTR2","","","","","","","","","",""
"","","","","SLITRK1","","","","","","","","","",""
"","","","","CLDN10","","","","","","","","","",""
"","","","","ZIC2","","","","","","","","","",""
"","","","","SFTA3","","","","","","","","","",""
"","","","","NKX2-1","","","","","","","","","",""
"","","","","PTGDR","","","","","","","","","",""
"","","","","OTX2","","","","","","","","","",""
"","","","","PRIMA1","","","","","","","","","",""
"","","","","DIO3OS","","","","","","","","","",""
"","","","","RASL12","","","","","","","","","",""
"","","","","CRABP1","","","","","","","","","",""
"","","","","LINC01314","","","","","","","","","",""
"","","","","CEMIP","","","","","","","","","",""
"","","","","ADAMTSL3","","","","","","","","","",""
"","","","","ACAN","","","","","","","","","",""
"","","","","MYH11","","","","","","","","","",""
"","","","","CRYM","","","","","","","","","",""
"","","","","CALB2","","","","","","","","","",""
"","","","","FOXC2","","","","","","","","","",""
"","","","","MMP28","","","","","","","","","",""
"","","","","STAC2","","","","","","","","","",""
"","","","","WNK4","","","","","","","","","",""
"","","","","GFAP","","","","","","","","","",""
"","","","","ABCC3","","","","","","","","","",""
"","","","","FAM20A","","","","","","","","","",""
"","","","","DLGAP1","","","","","","","","","",""
"","","","","MAPK4","","","","","","","","","",""
"","","","","RAX","","","","","","","","","",""
"","","","","CDH19","","","","","","","","","",""
"","","","","LINC01896","","","","","","","","","",""
"","","","","SALL3","","","","","","","","","",""
"","","","","TNFSF14","","","","","","","","","",""
"","","","","C3","","","","","","","","","",""
"","","","","CTD-3128G10.7","","","","","","","","","",""
"","","","","CD177","","","","","","","","","",""
"","","","","CPXM1","","","","","","","","","",""
"","","","","OXT","","","","","","","","","",""
"","","","","GDF5","","","","","","","","","",""
"","","","","PTPRT","","","","","","","","","",""
"","","","","EDN3","","","","","","","","","",""
"","","","","SUSD2","","","","","","","","","",""
"","","","","OSM","","","","","","","","","",""
"","","","","MLC1","","","","","","","","","",""
"","","","","NLGN4X","","","","","","","","","",""
"","","","","EGFL6","","","","","","","","","",""
"","","","","PLP1","","","","","","","","","",""
"","","","","FRMPD3","","","","","","","","","",""
"","","","","LINC00890","","","","","","","","","",""
"","","","","HS6ST2","","","","","","","","","",""
"","","","","SLITRK2","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
