"","A","B","C","D","E-1","E-2"
"","CCL15","","","","",""
"","HNF1B","","","","",""
"","KRT20","","","","",""
"","KRT19","","","","",""
"","PYY","","","","",""
"","PRR15L","","","","",""
"","HOXB9","","","","",""
"","LINC02086","","","","",""
"","B4GALNT2","","","","",""
"","LINC00483","","","","",""
"","OTOP2","","","","",""
"","MISP","","","","",""
"","EFNA2","","","","",""
"","SMIM24","","","","",""
"","TJP3","","","","",""
"","FUT6","","","","",""
"","FUT3","","","","",""
"","AP1M2","","","","",""
"","BEST2","","","","",""
"","B3GNT3","","","","",""
"","FXYD3","","","","",""
"","LGALS4","","","","",""
"","FCGBP","","","","",""
"","CYP2B6","","","","",""
"","CEACAM7","","","","",""
"","CEACAM5","","","","",""
"","CEACAM6","","","","",""
"","CEACAM1","","","","",""
"","CBLC","","","","",""
"","FAM83E","","","","",""
"","SPIB","","","","",""
"","KLK1","","","","",""
"","HNF4A","","","","",""
"","BCAS1","","","","",""
"","CLDN8","","","","",""
"","TMPRSS2","","","","",""
"","SLC5A1","","","","",""
"","ISX","","","","",""
"","GDPD2","","","","",""
"","GJB1","","","","",""
