"","A-1","A-2","B","C","D-1","D-2","E","F-1","F-2","G-1","G-2"
"","","","","","KLK7","","","","","",""
"","","","","","PI3","","","","","",""
"","","","","","CYP24A1","","","","","",""
"","","","","","IGLV4-69","","","","","",""
"","","","","","IGLV6-57","","","","","",""
"","","","","","IGLV1-51","","","","","",""
"","","","","","IGLV1-47","","","","","",""
"","","","","","IGLV7-46","","","","","",""
"","","","","","IGLV1-44","","","","","",""
"","","","","","IGLV1-40","","","","","",""
"","","","","","IGLV3-25","","","","","",""
"","","","","","IGLV2-23","","","","","",""
"","","","","","IGLV3-21","","","","","",""
"","","","","","IGLV3-19","","","","","",""
"","","","","","IGLV2-14","","","","","",""
"","","","","","IGLV2-11","","","","","",""
"","","","","","IGLV3-10","","","","","",""
"","","","","","IGLV2-8","","","","","",""
"","","","","","IGLV3-1","","","","","",""
"","","","","","IGLC1","","","","","",""
"","","","","","IGLC2","","","","","",""
"","","","","","IGLC3","","","","","",""
"","","","","","IGLC6","","","","","",""
"","","","","","VSIG4","","","","","",""
"","","","","","SLC6A14","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
