"","A","B","C","D","E","F"
"LINC00911","","GALNTL5","","","",""
"HOMER2P1","","LINC00208","","","",""
"RP11-11H9.2","","GOT1L1","","","",""
"RP11-294C11.3","","RP11-470M17.2","","","",""
"OR4N4","","RP11-738G5.1","","","",""
"GOLGA6L2","","CTD-3046C4.1","","","",""
"RP11-24D15.1","","LINC01289","","","",""
"CTD-2071N1.1","","FABP12","","","",""
"RP11-815J21.3","","RP11-320N21.1","","","",""
"NTRK3-AS1","","RP11-58O3.2","","","",""
"LINC02091","","SPATC1","","","",""
"P2RX1","","IZUMO3","","","",""
"RP11-488L1.1","","LINC01241","","","",""
"AC005324.7","","TMEM215","","","",""
"TBC1D3B","","C9orf24","","","",""
"TBC1D3F","","SPATA31E1","","","",""
"LRRC37A","","HEMGN","","","",""
"RDH8","","CYLC2","","","",""
"CYP4F11","","RP11-402G3.5","","","",""
"TSSK6","","RP11-67K19.3","","","",""
"PRNT","","RP11-349E4.1","","","",""
"GGTLC1","","C9orf50","","","",""
"WFDC3","","GLT6D1","","","",""
"ZNF295-AS1","","CCDC187","","","",""
"PICSAR","","RP5-1051H14.2","","","",""
"LINC01660","","CELF2-AS2","","","",""
"FAM230A","","RP11-478H13.1","","","",""
"LINC01662","","GOLGA2P6","","","",""
"POM121L7P","","RP11-297A16.4","","","",""
"RIMBP3C","","LINC01553","","","",""
"POM121L1P","","RP11-432J9.6","","","",""
"GGTLC2","","C10orf105","","","",""
"GSTTP1","","C10orf55","","","",""
"GGTLC4P","","DNTT","","","",""
"POM121L10P","","SLIT1-AS1","","","",""
"ELFN2","","C10orf120","","","",""
"RP1-63G5.7","","TEX36-AS1","","","",""
"RP11-85L21.4","","TEX36","","","",""
"RP11-364B14.1","","C10orf90","","","",""
"SPRR3","","FAM99A","","","",""
"PGC","","C11orf42","","","",""
"ORM1","","CASC23","","","",""
"KRT4","","NAV2-AS5","","","",""
"HP","","CCDC179","","","",""
"","","RP11-958J22.3","","","",""
"","","MS4A5","","","",""
"","","ZP1","","","",""
"","","RP11-686G23.2","","","",""
"","","RP11-179A16.2","","","",""
"","","RP11-676F20.4","","","",""
"","","RP11-867G2.6","","","",""
"","","TREH","","","",""
"","","RP11-335F8.2","","","",""
"","","KIRREL3-AS3","","","",""
"","","PLCZ1","","","",""
"","","RP11-630C16.1","","","",""
"","","C12orf54","","","",""
