"","A","B","C","D","E","F"
"","","RP11-58O9.2","","","",""
"","","TNS4","","","",""
"","","KRT23","","","",""
"","","KRT15","","","",""
"","","KRT19","","","",""
"","","KRT14","","","",""
"","","KRT17","","","",""
"","","WNK4","","","",""
"","","PRR15L","","","",""
"","","RNF43","","","",""
"","","CACNG4","","","",""
"","","LINC02095","","","",""
"","","LINC01152","","","",""
"","","SOX9-AS1","","","",""
"","","ANKRD30B","","","",""
"","","CHST9","","","",""
"","","DSC3","","","",""
"","","DSG3","","","",""
"","","SERPINB5","","","",""
"","","PLPPR3","","","",""
"","","TJP3","","","",""
"","","CRB3","","","",""
"","","CAMSAP3","","","",""
"","","PCP2","","","",""
"","","CTD-3214H19.6","","","",""
"","","PRR36","","","",""
"","","AP1M2","","","",""
"","","CYP4F23P","","","",""
"","","CTD-2626G11.2","","","",""
"","","FXYD3","","","",""
"","","SPINT2","","","",""
"","","CBLC","","","",""
"","","KLC3","","","",""
"","","FAM83E","","","",""
"","","NTF4","","","",""
"","","KLK5","","","",""
"","","KLK6","","","",""
"","","KLK7","","","",""
"","","KLK8","","","",""
"","","KLK10","","","",""
"","","KLK11","","","",""
"","","OVOL2","","","",""
"","","RP4-568C11.4","","","",""
"","","ARHGAP40","","","",""
"","","WFDC2","","","",""
"","","TFAP2C","","","",""
"","","RBBP8NL","","","",""
"","","CXADR","","","",""
"","","CLDN8","","","",""
"","","B3GALT5","","","",""
"","","TMPRSS2","","","",""
"","","RIPK4","","","",""
"","","TMPRSS3","","","",""
"","","SLC5A1","","","",""
"","","BIK","","","",""
"","","WNT7B","","","",""
"","","SLC6A14","","","",""
