"","A","B","C","D","E","F","G","H"
"","","","SSTR3","","","","",""
"","","","SULT4A1","","","","",""
"","","","KIAA1644","","","","",""
"","","","FRMPD4","","","","",""
"","","","GLRA2","","","","",""
"","","","SYN1","","","","",""
"","","","PAK3","","","","",""
"","","","HTR2C","","","","",""
"","","","FGF13","","","","",""
"","","","PNMA3","","","","",""
"","","","LL0XNC01-16G2.1","","","","",""
"","","","L1CAM","","","","",""
