"","A","B-1","B-2","C-1","C-2","D","E","F","G-1","G-2","H-1","H-2","I","J","K-1","K-2","L","M-1","M-2"
"MT2A","","","","","","","","","","","","","","","","","","",""
"MT1E","","","","","","","","","","","","","","","","","","",""
"MT1M","","","","","","","","","","","","","","","","","","",""
"MT1G","","","","","","","","","","","","","","","","","","",""
"MT1H","","","","","","","","","","","","","","","","","","",""
"HP","","","","","","","","","","","","","","","","","","",""
"NPIPB15","","","","","","","","","","","","","","","","","","",""
"ATP2C2","","","","","","","","","","","","","","","","","","",""
"CDH15","","","","","","","","","","","","","","","","","","",""
"SLC22A31","","","","","","","","","","","","","","","","","","",""
"CCDC144A","","","","","","","","","","","","","","","","","","",""
"USP32P1","","","","","","","","","","","","","","","","","","",""
"RPL13P12","","","","","","","","","","","","","","","","","","",""
"USP32P2","","","","","","","","","","","","","","","","","","",""
"CTD-2303H24.2","","","","","","","","","","","","","","","","","","",""
"SNORD3A","","","","","","","","","","","","","","","","","","",""
"TBC1D3L","","","","","","","","","","","","","","","","","","",""
"PPY","","","","","","","","","","","","","","","","","","",""
"LINC00668","","","","","","","","","","","","","","","","","","",""
"LAMA1","","","","","","","","","","","","","","","","","","",""
"PIEZO2","","","","","","","","","","","","","","","","","","",""
"ANKRD30B","","","","","","","","","","","","","","","","","","",""
"C3P1","","","","","","","","","","","","","","","","","","",""
"CYP4F11","","","","","","","","","","","","","","","","","","",""
"COMP","","","","","","","","","","","","","","","","","","",""
"CTD-2626G11.2","","","","","","","","","","","","","","","","","","",""
"MTDHP3","","","","","","","","","","","","","","","","","","",""
"RPSAP58","","","","","","","","","","","","","","","","","","",""
"FOSB","","","","","","","","","","","","","","","","","","",""
"KLK13","","","","","","","","","","","","","","","","","","",""
"NLRP2","","","","","","","","","","","","","","","","","","",""
"CBSL","","","","","","","","","","","","","","","","","","",""
"AF127936.3","","","","","","","","","","","","","","","","","","",""
"CBS","","","","","","","","","","","","","","","","","","",""
"SIK1","","","","","","","","","","","","","","","","","","",""
"PWP2","","","","","","","","","","","","","","","","","","",""
"C21orf33","","","","","","","","","","","","","","","","","","",""
"AP000350.5","","","","","","","","","","","","","","","","","","",""
"RP11-706O15.3","","","","","","","","","","","","","","","","","","",""
"GPX1P1","","","","","","","","","","","","","","","","","","",""
"CLDN2","","","","","","","","","","","","","","","","","","",""
