"","A","B-1","B-2","C","D-1","D-2","E","F","G-1","G-2","H-1","H-2"
"","","","","","","","IGLV1-47","","","","",""
"","","","","","","","IGLV1-44","","","","",""
"","","","","","","","IGLV1-40","","","","",""
"","","","","","","","IGLV3-25","","","","",""
"","","","","","","","IGLV2-23","","","","",""
"","","","","","","","IGLV3-21","","","","",""
"","","","","","","","IGLV3-19","","","","",""
"","","","","","","","IGLV2-14","","","","",""
"","","","","","","","IGLV2-11","","","","",""
"","","","","","","","IGLV2-8","","","","",""
"","","","","","","","IGLV3-1","","","","",""
"","","","","","","","IGLC1","","","","",""
"","","","","","","","IGLC2","","","","",""
"","","","","","","","IGLC3","","","","",""
"","","","","","","","TNFRSF13C","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
