"","A-1","A-2","B-1","B-2","C","D","E-1","E-2","F","G-1","G-2","H"
"","","KRT33A","","","","","","","","","",""
"","","KRT33B","","","","","","","","","",""
"","","KRT34","","","","","","","","","",""
"","","KRT31","","","","","","","","","",""
"","","KRT38","","","","","","","","","",""
"","","KRT32","","","","","","","","","",""
"","","KRT35","","","","","","","","","",""
"","","KRT16","","","","","","","","","",""
"","","CIDEA","","","","","","","","","",""
"","","DSG4","","","","","","","","","",""
"","","PLIN5","","","","","","","","","",""
"","","CYP4F8","","","","","","","","","",""
"","","CYP4F2","","","","","","","","","",""
"","","KLK6","","","","","","","","","",""
"","","CPXM1","","","","","","","","","",""
"","","CYP24A1","","","","","","","","","",""
"","","KRTAP11-1","","","","","","","","","",""
"","","UPB1","","","","","","","","","",""
"","","SEZ6L","","","","","","","","","",""
"","","SEC14L4","","","","","","","","","",""
"","","SEC14L6","","","","","","","","","",""
"","","PNPLA5","","","","","","","","","",""
"","","AWAT2","","","","","","","","","",""
"","","DGAT2L6","","","","","","","","","",""
"","","TNMD","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
