"","A","B","C","D-1","D-2","E","F","G","H-1","H-2","I-1","I-2"
"AC138969.4","","","","SDC4","","","","","","","",""
"RP11-958N24.2","","","","CH507-42P11.8","","","","","","","",""
"PKD1P5","","","","ADAMTS1","","","","","","","",""
"HERC2P4","","","","LIF","","","","","","","",""
"HPR","","","","APOL4","","","","","","","",""
"NPIPB15","","","","MAFF","","","","","","","",""
"WFDC1","","","","","","","","","","","",""
"FAM92B","","","","","","","","","","","",""
"FAM157C","","","","","","","","","","","",""
"RPL13P12","","","","","","","","","","","",""
"TBC1D3L","","","","","","","","","","","",""
"LRRC37A4P","","","","","","","","","","","",""
"MAPK8IP1P2","","","","","","","","","","","",""
"RP11-259G18.3","","","","","","","","","","","",""
"GH1","","","","","","","","","","","",""
"AC139099.7","","","","","","","","","","","",""
"TTR","","","","","","","","","","","",""
"MBP","","","","","","","","","","","",""
"GNA15","","","","","","","","","","","",""
"CLEC4G","","","","","","","","","","","",""
"CYP4F24P","","","","","","","","","","","",""
"COMP","","","","","","","","","","","",""
"RP11-678G14.3","","","","","","","","","","","",""
"RP11-420K14.1","","","","","","","","","","","",""
"MTDHP3","","","","","","","","","","","",""
"RPSAP58","","","","","","","","","","","",""
"KLK7","","","","","","","","","","","",""
"SIRPB1","","","","","","","","","","","",""
"FAM182A","","","","","","","","","","","",""
"PCK1","","","","","","","","","","","",""
"LINC01749","","","","","","","","","","","",""
"CBSL","","","","","","","","","","","",""
"CH507-513H4.5","","","","","","","","","","","",""
"CH507-513H4.3","","","","","","","","","","","",""
"CYP4F29P","","","","","","","","","","","",""
"CBS","","","","","","","","","","","",""
"SIK1","","","","","","","","","","","",""
"PWP2","","","","","","","","","","","",""
"C21orf33","","","","","","","","","","","",""
"SERPIND1","","","","","","","","","","","",""
"AP000350.5","","","","","","","","","","","",""
"SIRPAP1","","","","","","","","","","","",""
"SSTR3","","","","","","","","","","","",""
"GPX1P1","","","","","","","","","","","",""
"RHOXF1-AS1","","","","","","","","","","","",""
"RHOXF1","","","","","","","","","","","",""
"PNMA6B","","","","","","","","","","","",""
